Day 1, Time 07/01/2019 12:03:00 PM: 8.0 meters
Day 2, Time 07/01/2019 2:03:00 PM: 8.0 meters
Day 3, Time 07/02/2019 12:03:00 PM: 8.0 meters
Day 4, Time 07/02/2019 2:03:00 PM: 6.0 meters
Day 5, Time 07/03/2019 12:03:00 PM: 8.0 meters
Day 6, Time 07/03/2019 2:03:00 PM: 8.0 meters
Day 7, Time 07/04/2019 12:03:00 PM: 8.0 meters
Day 8, Time 07/04/2019 2:03:00 PM: 8.0 meters
Day 9, Time 07/05/2019 12:03:00 PM: 2.0 meters
Day 10, Time 07/05/2019 2:03:00 PM: 8.0 meters
Day 11, Time 07/06/2019 12:03:00 PM: 4.0 meters
Day 12, Time 07/06/2019 2:03:00 PM: 4.0 meters
Day 13, Time 07/07/2019 12:03:00 PM: 8.0 meters
Day 14, Time 07/07/2019 2:03:00 PM: 4.0 meters
Day 15, Time 07/08/2019 12:03:00 PM: 6.0 meters
Day 16, Time 07/08/2019 2:03:00 PM: 6.0 meters
Day 17, Time 07/09/2019 12:03:00 PM: 8.0 meters
Day 18, Time 07/09/2019 2:03:00 PM: 8.0 meters
Day 19, Time 07/10/2019 12:03:00 PM: 6.0 meters
Day 20, Time 07/10/2019 2:03:00 PM: 6.0 meters
Day 21, Time 07/11/2019 12:03:00 PM: 6.0 meters
Day 22, Time 07/11/2019 2:03:00 PM: 6.0 meters
Day 23, Time 07/12/2019 12:03:00 PM: 6.0 meters
Day 24, Time 07/12/2019 2:03:00 PM: 6.0 meters
Day 25, Time 07/13/2019 12:03:00 PM: 8.0 meters
Day 26, Time 07/13/2019 2:03:00 PM: 8.0 meters
Day 27, Time 07/14/2019 12:03:00 PM: 6.0 meters
Day 28, Time 07/14/2019 2:03:00 PM: 6.0 meters
Day 29, Time 07/15/2019 12:03:00 PM: 8.0 meters
Day 30, Time 07/15/2019 2:03:00 PM: 8.0 meters
Day 31, Time 07/16/2019 12:03:00 PM: 8.0 meters
Day 32, Time 07/16/2019 2:03:00 PM: 6.0 meters
Day 33, Time 07/17/2019 12:03:00 PM: 6.0 meters
Day 34, Time 07/17/2019 2:03:00 PM: 8.0 meters
Day 35, Time 07/18/2019 12:03:00 PM: 6.0 meters
Day 36, Time 07/18/2019 2:03:00 PM: 8.0 meters
Day 37, Time 07/19/2019 12:03:00 PM: 6.0 meters
Day 38, Time 07/19/2019 2:03:00 PM: 6.0 meters
Day 39, Time 07/20/2019 12:03:00 PM: 8.0 meters
Day 40, Time 07/20/2019 2:03:00 PM: 6.0 meters
Day 41, Time 07/21/2019 12:03:00 PM: 8.0 meters
Day 42, Time 07/21/2019 2:03:00 PM: 8.0 meters
Day 43, Time 07/22/2019 12:03:00 PM: 6.0 meters
Day 44, Time 07/22/2019 2:03:00 PM: 8.0 meters
Day 45, Time 07/23/2019 12:03:00 PM: 6.0 meters
Day 46, Time 07/23/2019 2:03:00 PM: 6.0 meters
Day 47, Time 07/24/2019 12:03:00 PM: 6.0 meters
Day 48, Time 07/24/2019 2:03:00 PM: 6.0 meters
Day 49, Time 07/25/2019 12:03:00 PM: 8.0 meters
Day 50, Time 07/25/2019 2:03:00 PM: 8.0 meters
Day 51, Time 07/26/2019 12:03:00 PM: 8.0 meters
Day 52, Time 07/26/2019 2:03:00 PM: 8.0 meters
Day 53, Time 07/27/2019 12:03:00 PM: 8.0 meters
Day 54, Time 07/27/2019 2:03:00 PM: 8.0 meters
Day 55, Time 07/28/2019 12:03:00 PM: 6.0 meters
Day 56, Time 07/28/2019 2:03:00 PM: 8.0 meters
Day 57, Time 07/29/2019 12:03:00 PM: 8.0 meters
Day 58, Time 07/29/2019 2:03:00 PM: 8.0 meters
Day 59, Time 07/30/2019 12:03:00 PM: 8.0 meters
Day 60, Time 07/30/2019 2:03:00 PM: 8.0 meters
Day 61, Time 07/31/2019 12:03:00 PM: 8.0 meters
Day 62, Time 07/31/2019 2:03:00 PM: 8.0 meters
